id,title,overview,service
1,한섬,"한섬은 1987년에 설립된 여성의류 제조 및 판매업을 하는 회사로, 오프라인과 온라인 유통채널을 통해 제품을 판매하고 있습니다.","주요 제품 및 서비스는 다음과 같이 분류될 수 있습니다:

1. 제조 도소매 제품의 복류
   - 제37기: 1,148,859(75.16%)
   - 제36기: 1,178,554(76.42%)
   - 제35기: 1,010,952(72.87%)

2. 상품의 복류
   - 제37기: 371,544(24.30%)
   - 제36기: 357,833(23.20%)
   - 제35기: 371,419(26.77%)

3. 수수료의 복류
   - 제37기: 8,238(0.54%)
   - 제36기: 5,835(0.38%)
   - 제35기: 5,031(0.36%)

총 매출액은 다음과 같습니다:
- 제37기: 1,528,641(100.00%)
- 제36기: 1,542,222(100.00%)
- 제35기: 1,387,402(100.00%)

이 회사는 의류 부문을 단일 사업부문으로 구분하고 있으며, 주요 브랜드로는 TIME, MINE, LANVIN COLLECTION, SYSTEM, SJSJ 등이 있습니다. 이 회사는 고가 브랜드를 중심으로 사업을 전개하고 있으며, 온라인과 오프라인 유통망을 통해 경쟁력을 강화하고 있습니다. 또한, 다양한 브랜드를 런칭하여 패션 업계에서 일등 회사로 자리매김하고 있습니다."
2,삼성SDI,"삼성SDI 주식회사는 리튬이온 2차 전지와 전자재료를 생산하는 회사로, 전기자동차 및 전력저장장치 등에 사용되는 제품을 주력으로 생산하고 있습니다.","주요 제품 및 서비스는 다음과 같습니다:
1. 에너지솔루션 부문: 전기자동차용 중형전지, 전력저장장치(ESS)용 대형전지, 스마트폰용 배터리 등을 판매하고 있습니다.
2. 전자재료 부문: 반도체 소재, LCD 소재, OLED 필름소재 등을 판매하고 있습니다.

에너지솔루션 부문의 매출액은 20조 4,061억원으로 전년 대비 16.2% 증가했으며, 영업이익은 1조 3,424억원입니다. 전자재료 부문의 매출액은 2조 3,022억원으로 전년 대비 10.0% 감소했으며, 영업이익은 2,910억원입니다.

에너지솔루션 부문에서는 자동차용 중형전지와 전력저장장치(ESS)용 대형전지를 개발하고 공급하고 있으며, 소형전지는 스마트폰, Note PC, 전동공구 등에 사용되고 있습니다.

전자재료 부문에서는 반도체 소재와 LCD 소재, OLED 필름소재를 판매하고 있으며, 반도체 수요 확대와 OLED 패널 채용 증가로 인해 성장이 예상됩니다."
3,골프존뉴딘홀딩스,"이 회사는 주식회사 골프존뉴딘홀딩스로, 지주회사로서 다른 회사를 지배하며 주요 수익은 브랜드로열티, 경영자문, 임대수익, 지분법이익 등이 있는 회사입니다.","주요 서비스:
1. 지주사업: 브랜드로열티, 경영자문, 임대수익, 지분법이익 등
2. 골프장 사업: 골프장 운영, 골프장 임대사업
3. 골프용품사업: 골프용품 유통 및 판매
4. 공간 및 기타사업: 스크린야구 사업, 골프전문 콤플렉스 운영
5. 스크린골프사업: 골프시뮬레이터 판매 및 운영, 설치 및 유지보수

각 부문별 매출 현황:
1. 지주사업: 60,996 백만원 (14.3%)
2. 골프장 임대사업: 7,473 백만원 (1.7%)
3. 골프용품사업: 354,591 백만원 (83.0%)
4. 공간 및 기타사업:"
4,현대힘스,"현대힘스 주식회사는 선박블럭 및 배관 제조를 전문으로 하는 기업으로, 연결대상 종속기업을 보유하고 있으며, B2B 거래를 주요 사업으로 하고 있습니다.","주요 제품 및 서비스: 
1. 선박구성 부분품
2. 가스발생기
3. 상품
4. 기타

사업의 내용: 
- 선박 블록 생산 및 공급
- 선박용 배관 및 철의장 도장공장 운영
- 조선 기자재 공급 및 업무협정
- 선박 블록 내부재 가공 및 납품
- 선박용 철의장과 배관 도장 및 납품
- 원재료 및 생산설비 관리
- 위험관리 및 자본관리
- 주요계약 및 연구개발활동

원재료: 강판, 도료, 용접봉
고객사: HD현대중공업, 현대삼호중공업, 현대미포조선 등

주요 제품 및 서비스 매출:
1. 선박구성부분품 등 제조업
2. 기타매출

위험관리: 부채비율, 순차입금비율 관리
주요계약: 생산시설 임대 및 공급 계약
연구개발활동: HD현대중공업과의 협력 계약"
5,동양피스톤,"동양피스톤 주식회사는 피스톤 전문기업으로, 내연기관용 엔진피스톤을 생산하고 판매하는 주력사업을 진행하며, 수소전지자동차용 부품 사업과 자율주행차 관련 사업으로 사업다각화를 추구하고 있는 회사입니다.","주요 제품 및 서비스: 
- 회사는 엔진용 피스톤 파워셀 모듈을 생산 및 판매하고 있습니다. 
- 피스톤 모듈은 엔진 연소 시 발생하는 열에너지를 회전운동 에너지로 변환하는 부품으로 구성됩니다. 
- 주요 제품은 자동차용 제품피스톤이며, 주요 고객은 현대기아, GM, BMW, AUDI 등입니다. 
- 매출액은 2023년 기준 4217억원이며, 시장점유율은 약 9%입니다. 
- 해외시장 확대를 위한 판매 전략으로 생산 거점 확장과 브랜드 인지도 향상을 추진하고 있습니다."
6,크라운제과,"크라운제과는 과자를 제조하고 판매하는 회사로, 경쟁력 있는 제품과 해외시장 개척을 통해 성장하고 있는 회사입니다.","주요 제품 및 서비스 카테고리:
1. 제품매출: 과자류 (하임, 미니쉘, 마이쮸 등)
2. 상품매출: 과자류 (쌀과자 등)
3. 용역매출: 위탁판매용역

주요 제품 가격 변동추이:
- 산도: 1,750원
- 하임: 2,310원
- 콘칲: 2,100원
- 조리퐁: 2,100원
- 마이쮸: 560원
- 땅콩카라멜: 1,400원

사업의 개요:
- 제과산업은 경기변동에 비교적 민감하지 않으며, 환율 변동과 국제 원재료 가격 변화에 민감한 특성을 가지고 있음.
- 제과산업은 고급화, 고부가가치화, 기능성 강화, 웰빙제품 생산 등을 추구하고 있음.
- 경기침체와 소비위축으로 성장률이 둔화되고 있으나, 웰빙제품과 건강기능식품의 개발로 신규시장이 확대되고 있음.
- 경쟁체제는 대형 할인점과 수입 브랜드의 증가로 치열해지고 있음.
- 농산물의 안정적인 공급과 국제환율, 세계곡물가격의 변동은 기업 경영성과에 영향을 미침.
- 식품위생, 소비자 보호, 공정거래 등의 법령 규제를 받고 있음.

영업개황:
- 영업환경이 악화되고 있으며, 당사는 신제품 출시와 비용 절감으로 경영체질 개선을 통한 성장을 추구하고 있음.
- 유통채널의 다양화와 주요 소비계층의 확대로 시장 특성이 변화하고 있음.

부문별 주요재무정보:
- 제과부문 매출액: 434,728,793천원
- 제과부문 영업이익: 28,440,131천원

신규사업 계획:
- 현재 진행 중인 신규사업은 없음."
7,삼화콘덴서공업,"삼화콘덴서공업은 전력용 콘덴서와 다양한 종류의 콘덴서를 생산하고 판매하는 국내 유일의 종합 메이커로, 1956년에 설립되었으며 한국거래소에 상장되어 있는 회사입니다.","주요 제품 및 서비스:
1) 콘덴서: 전기, 전자부품에 사용되며 주요 상표로는 삼화콘덴서가 있음. 주요 제품으로는 MLCC 콘덴서, 전력용 콘덴서, 차량용 콘덴서 등이 있음.
2) 기타: 기타 제품으로는 전기, 전자부품 등이 있음.

가격 변동 추이:
1) FILM류 콘덴서: 제 68 기 연간 426,252원, 제 67 기 연간 433,375원, 제 66 기 연간 272,824원.
2) Ceramic류 콘덴서: 제 68 기 연간 34,681원, 제 67 기 연간 34,613원, 제 66 기 연간 29,898원.
3) Chip류 콘덴서: 제 68 기 연간 6,435원, 제 67 기 연간 8,060원, 제 66 기 연간 6,294원.
4) Inductor류 콘덴서: 제 68 기 연간 9,582원, 제 67 기 연간 10,795원, 제 66 기 연간 9,416원.

사업의 개요:
1) 회사의 현황: 당사는 국내 유일의 콘덴서 종합 메이커로서 다양한 콘덴서를 생산하고 있음. 전자부품 수요의 확대와 자동차 관련 운전자 편의성 향상으로 인해 시장이 성"
8,아모텍,"주식회사 아모텍은 전자 부품 제조 및 판매를 주사업으로 하는 종합 소재부품 전문기업으로, 세라믹 칩 부품, 안테나 부품, BLDC 모터 등을 제조/판매하며, 신규 사업으로 적층세라믹콘덴서를 개발하여 다양한 산업군으로 제품을 수출하고 있는 회사입니다.","1. 주요 제품 및 서비스
   가. 세라믹 칩 부품
      - 칩 바리스터, MLCC, EMI Filter 등 전자기기 부품 제조 및 판매
   나. 안테나 부품
      - NFC+MST+WPC 콤보안테나, Bluetooth 및 GPS용 Chip Antenna 등 제조 및 판매
   다. BLDC 모터
      - 경량화, 슬림화, 속도제어가 용이한 BLDC 모터 제조 및 판매

2. 시장점유율
   - 세라믹 칩 부품: 92.8%
   - 안테나 부품: 0.5%
   - 기타: 6.7%

3. 신규사업 등의 내용 및 전망
   - MLCC를 신규 사업 아이템으로 추진 중
   - 고신뢰성 제품을 다양한 영역에 적용하여 공급 확대 예정

4. 주요 제품 등의 현황
   - 세라믹 칩 부품: 92.8% 매출
   - 안테나 부품: 0.5% 매출
   - BLDC 모터: 6.7% 매출

5. 주요 제품 등의 가격변동추이
   - EMC의 판가는 인하되는 추세
   - 안테나 및 모터의 판가는 유지되는 추세

6. 사업의 개요
   - 세라믹 칩 부품, 안테나 부품, BLDC 모터 부문으로 사업을 구분하여 운영중

7. 세부 내용
   - 세라믹 칩 부품: 칩 바리스터, EMI 필터 등 제조 및 판매
   - 안테나 부품: NFC+MST+WPC 콤보안테나, Bluetooth 및 GPS용 Chip Antenna 등 제조 및 판매
   - BLDC 모터: 경량화, 슬림화, 속도제어가 용이한 BLDC 모터 제조 및 판매"
9,효성티앤씨,"효성티앤씨는 섬유 및 무역 사업을 영위하는 회사로, 섬유소재인 스판덱스와 폴리에스터, 나이론을 생산하고 판매하며, 또한 철강과 화학 분야에서도 다양한 사업을 영업하고 있습니다.","효성티앤씨㈜은 섬유 및 무역 사업을 하는 기업으로, 주요 제품은 스판덱스, 나이론원사, 폴리에스터원사 등이다. 섬유 부문과 무역 부문으로 나뉘어 있으며, 섬유 부문의 매출은 3조 896억원, 무역 부문의 매출은 4조 4,373억원이다. 주요 제품의 가격은 스판덱스원사 4.3~5.1 $/kg, 나이론원사 2.3~9.3 $/kg, 폴리에스터원사 2.0~2.2 $/kg이다.회사는 섬유 부문의 생산능력은 3조 2,078억원, 무역 부문의 생산능력은 6,204억원이며, 재무위험 관리를 위해 다양한 정책과 프로그램을 운용하고 있다."
10,자화전자,"이 회사는 연결대상 종속회사를 가지고 있으며, 주권상장법인이 사업보고서와 분기ㆍ반기보고서를 제출하는 회사이다. 비상장 회사는 7개이고, 주요 종속회사는 1개이며, 기말에는 6개의 종속회사가 있다. 주권상장은 1999년 1월 6일에 이루어졌다.","주요 제품 및 서비스: 
1. 통신기기용 부품 (AFA, 진동모터, OIS, 자동초점장치, 손떨림방지장치)
2. 기타부품 (PTC, 자동차히터, 회로보호용)

회사는 통신기기용 부품과 기타부품을 생산하고 판매하는 기업으로, 주요 제품은 휴대폰 및 카메라폰에 탑재되는 고사양 카메라 모듈용 핵심부품이다. 또한, 회사는 자체 기술력을 바탕으로 다양한 제품을 개발하고 있으며, 고부가가치 제품을 지속적으로 출시하여 세계일류의 부품회사로 성장하고자 한다."
11,한화시스템,"한화시스템은 방산부문과 ICT부문을 주요 사업으로 하는 회사로, 군사장비 제조 및 판매와 전산 시스","주요 제품 및 서비스 카테고리:
1. 방산부문: 지휘통제통신, 항공전자, 해양시스템
2. ICT부문: IT 아웃소싱, SI/컨버전스
3. 신사업: UAM, 위성통신, 디지털 플랫폼"
12,삼양식품,"삼양식품은 1961년에 설립된 식품 제조 및 판매 회사로, 면류, 스낵류, 소스 등을 생산하여 국내외에서 많은 사람들에게 사랑받고 있으며, 라면을 출시하여 한국 식문화의 발전에 기여하고 있습니다.","주요 서비스:
1. 면류: 삼양라면, 불닭볶음면, 큰컵삼양라면, 큰컵불닭볶음면 등의 다양한 면류 제품을 다양한 유통채널을 통해 판매하고 있습니다.
2. 뉴트리션: 백색우유, 원료, 가공우유, 기능성식품 등의 뉴트리션 제품을 제공하고 있습니다.
3. 소스, 조미소재: 용기소스, 벌크소스, 소재원료 등의 소스와 조미소재를 생산하고 있습니다.
4. 냉동: 만두류, 떡갈비류, 커틀릿류 등의 냉동 제품을 생산하고 있습니다.
5. 용역서비스: 물류, 후레이크 선별 등의 용역 서비스를 제공하고 있습니다.
6. 축산 및 관광: 축산업과 관광사업을 영위하고 있습니다.
7. 기타: 부식, 골판지상자 등의 제품을 생산하고 있습니다."
13,팜스코,"주식회사 팜스코는 배합사료업을 주요 사업으로 하며, 신선식품 판매, 육가공, 양돈업, 태양광, 퇴비화 등 다양한 사업을 수행하는 회사입니다.","주요 제품 및 서비스 카테고리:
1. 사료부문: 배합사료, 양돈, 양계, 축우 등을 포함한 사료 제품
2. 식품부문: 돈육 등의 신선식품과 육가공식품
3. 계열부문: 비육돈 등의 계열화 제품
4. 기타 제품: 비료 외의 다른 제품들

사업의 개요:
- 회사는 종합축산식품기업으로 한국에 본사를 두고 국내 3개 법인과 해외 1개 국가에 3개 법인, 총 6개의 종속기업으로 구성되어 있음
- 주요 사업부문은 사료부문, 식품부문, 계열부문, 기타사업부문으로 구분됨
- 사료부문은 국내 4개 사료공장과 인도네시아 1개 사료공장을 운영하며 다양한 종류의 사료를 제조 및 판매함
- 계열부문은 사육두수 증대, 질병예방, 사양관리 프로그램 등을 통해 안정적인 수요를 창출함
- 식품부문은 신선식품과 육가공식품을 생산하여 공급함
- 기타사업부문은 태양광발전사업과 친환경퇴비생산 등을 수행함"
14,삼보모터스,"삼보모터스는 자동차 부품을 생산하고 판매하는 회사로, 다양한 국내외 대형 완성차 업체와 협력하며 금형도 생산하고 있다.","주요 제품 및 서비스: 1. 자동차용 자동변속기 Plate류, Pipe류, Bumper 및 내.외장 사출품 제품 2. 금형 제품 3. 자동차 튜닝 제품. 가격 변동 현황도 제공됨. 회사는 자동차 부품을 생산하고 판매하며, 주요 고객사는 현대, 기아차 등이며 해외 시장에도 활발히 진출 중이다."
15,에이스침대,"주식회사 에이스침대는 침대와 가구 제조 및 판매를 주요 사업으로 하는 기업으로, 국민건강향상을 위해 편안하고 우수한 제품을 공급하고 있으며, 최근 3년간 신용평가에서 AA 등급을 받았고 코스닥시장에 상장되어 있다.","회사는 침대와 가구 제품을 생산하고 판매하는 주요 서비스를 제공하고 있습니다. 주요 제품 현황은 침대와 가구가 주요 제품으로 매출액의 대부분을 차지하고 있습니다. 또한, 회사는 침대와 가구를 생산하는 주요 사업 영역으로 활동하고 있으며, 연구 및 개발을 통해 제품 품질을 개선하고 있습니다."
16,도화엔지니어링,"도화엔지니어링은 종합토목설계업과 건설기술용역업을 영위하는 엔지니어링 회사로, 신재생에너지와 PMC사업 등 부가가치가 높은 영역에도 진출하고 있으며, 해외 진출을 통한 시장 확대전략을 추진하고 있습니다.","주요 제품 및 서비스 부문은 다음과 같습니다:
1. 엔지니어링 부문: 물산업, 도시, 교통, 에너지 등 국가기반시설에 대한 설계
2. CM 부문: 설계에 대한 건설사업관리
3. EPC 부문: 신재생에너지 발전시설 등에 대한 설계, 조달, 건설
4. O&M 부문: 인프라 시설물 등에 대한 유지관리보수
5. 건설 부문: 국가기반시설 등에 대한 건설
6. 전력판매 부문: 태양광 전력 판매
7. ESS 부문: 에너지 저장 및 전력수요자원

이 회사는 물산업, 도시, 교통, 에너지 등 SOC(사회간접자본) 전 분야에서 종합토목설계업, 건설기술용역업 등 전문적인 엔지니어링사업과 신재생에너지 발전시설 등의 건설업, 시설물의 유지관리보수업, 태양광 전력 판매업 등을 수행하고 있습니다."
17,GS칼텍스,"GS Caltex주식회사는 정유 및 석유화학 제품을 주요 사업으로 하는 회사로, 방향족제품 생산능력을 보유하고 있으며 해외 및 국내에서 높은 신용평가를 받고 있는 회사입니다.","회사는 정유, 윤활유, 석유화학 사업을 통해 다양한 제품과 서비스를 제공하고 있습니다. 주요 제품은 정유 제품, 윤활유, 방향족 제품, 폴리머 제품 등이며, 주요 서비스로는 휘발유, 등유, 경유, 항공유, 윤활유 등이 있습니다. 회사는 국내외에서 안정적인 석유제품을 공급하며, 세계적인 경쟁력을 갖추고 있습니다."
18,에코프로,"회사는 환경사업과 이차전지용 하이니켈 양극재 제조 사업을 영위하며, 주요 자회사로 환경사업부문의 주식회사 에코프로에이치엔, 전지재료사업부문의 주식회사 에코프로비엠 등이 있습니다.","주요 서비스 1. 전지재료사업부문 - 에코프로비엠, 에코프로머티리얼즈, 에코프로이노베이션, 에코프로에이피, 에코프로씨엔지
주요 서비스 2. 환경사업부문 - 에코프로에이치엔"
19,케어캠프,"케어캠프 주식회사는 의료분야 솔루션 회사로, 경쟁력 있는 진료재료, 의료장비, 물류 서비스를 제공하며 의료산업 발전과 서비스 향상에 기여하고 있습니다.","주요 제품 및 서비스: 
1. 병원구매대행 - 병원의 비용 절감과 효율화를 위한 솔루션 제공
2. 물류서비스 - 진료재료 및 시약, 의약품 등의 물류관리를 통한 병원 업무 효율화 및 고객서비스 향상."
20,파마리서치,"주식회사 파마리서치는 의약품, 의료기기, 화장품을 제조하고 판매하는 재생 바이오 전문 제약회사로, 주요 제품은 PDRN의약품과 리쥬란, 콘쥬란 등이 있으며 국내외에서 판매되고 있습니다.","주요 제품 및 서비스 카테고리:
1. 의약품: PDRN/PN 기반의 의약품, 플라센텍스주, 리쥬비넥스주 등
2. 의료기기: 안면미용용 HA필러, 클레비엘, 리쥬비엘, PN제형 안면미용용 리쥬란, PN제형 무릎 관절강내주사 콘쥬란 등
3. 화장품: 리쥬란 브랜드의 힐러라인, 클리닉라인, 더마힐러라인 등"
21,인피니트헬스케어,"한국의 의료영상정보 솔루션을 개발하고 있는 회사로, 2002년 설립되어 2010년에 코스닥시장에 상장된 회사이며, 한국평가데이터로부터 'A'의 기업신용등급을 받았습니다.","이 회사는 의료용 소프트웨어 개발 및 판매, 서비스를 제공하는 기업으로, 주요 제품은 PACS(Picture Archiving and Communication System) 등이 있습니다. 회사의 주요 서비스는 소프트웨어와 관련된 제품 및 서비스를 제공하는 것이며, 이를 통해 의료기관에서 데이터를 효율적으로 관리하고 환자 진료에 활용할 수 있습니다. 또한, 회사는 글로벌 시장에서도 활발한 활동을 펼치고 있습니다."
